시군명,구/읍면동명,업종구분명,시설명,교습과정명,소재지지번주소,소재지도로명주소,WGS84위도,WGS84경도
부천시,중동,학교교과교습학원,에스엠100보습학원,보습,경기도 부천시 중동 1159-8번지 하성빌딩 3층 전체,"경기도 부천시 원미구 석천로 174, 3층 전체 (중동,하성빌딩)",37.50270426,126.7629912
부천시,중동,학교교과교습학원,카르포스입시학원,입시,경기도 부천시 중동 1152-1번지 루미아트클래식 206호,"경기도 부천시 원미구 소향로 195, 루미아트클래식 206호 (중동,루미아트클래식)",37.50140162,126.7693849
부천시,중동,학교교과교습학원,예마루미술학원,미술,경기도 부천시 중동 1052-2번지 202호,"경기도 부천시 원미구 계남로 208, 202호 (중동)",37.50683988,126.7720711
부천시,중동,학교교과교습학원,YBM(와이비엠)잉글루중동보습학원,외국어,경기도 부천시 중동 1134-2번지 골드존타워 704호,"경기도 부천시 원미구 조마루로285번길 50, 704호 (중동,골드존타워)",37.49962009,126.7752484
부천시,중동,학교교과교습학원,창의메카보습학원,보습,경기도 부천시 중동 1033-1번지 금영프라자 502호,"경기도 부천시 길주로 191, 502호 (중동, 금영프라자) (중동)",37.50506656,126.7638319
부천시,중동,학교교과교습학원,송현보습학원,보습,경기도 부천시 중동 679-2번지 유청빌딩 3층,경기도 부천시 원미구 부흥로 173 3층 (중동),37.49662088,126.7621625
부천시,중동,학교교과교습학원,피드백수보습학원,보습,"경기도 부천시 중동 1129-1번지 센타프라자 405호, 406호","경기도 부천시 원미구 조마루로291번길 25, 405호, 406호 (중동,센타프라자)",37.49853948,126.7755457
부천시,중동,학교교과교습학원,드림수학보습학원,보습,경기도 부천시 중동 1289번지 팰리스카운티아이파크 상가 302호,"경기도 부천시 원미구 중동로 100, 팰리스카운티 아이파크상가 302호 (중동)",37.48984732,126.7675778
부천시,중동,학교교과교습학원,새샘음악학원,음악,경기도 부천시 중동 3-343번지 2층,경기도 부천시 원미구 계남로263번길 9 2층 (중동),37.50597823,126.7784637
부천시,중동,학교교과교습학원,탑논술입시학원,입시·논술,"경기도 부천시 중동 1033-3번지 4층 404호, 405호, 406호, 407호 일부","경기도 부천시 길주로 199, 4층 404호, 405호, 406호, 407호 일부 (중동)",37.50497781,126.7644994
부천시,중동,학교교과교습학원,상상미술학원,미술,경기도 부천시 중동 1134-2번지 골드존타워 605호,경기도 부천시 원미구 조마루로285번길 50 골드존타워 605호 (중동),37.49962009,126.7752484
부천시,중동,학교교과교습학원,부천에스엘피영어학원,외국어,"경기도 부천시 중동 1162-5번지 4층 401,402,403,404,406,410호","경기도 부천시 석천로 171, 4층 401,402,403,404,406,410호 (중동)",37.50275719,126.7624369
부천시,중동,학교교과교습학원,비상잉글리시아이보습학원,보습,경기도 부천시 중동 1104번지 꿈마을 상가동 303호,경기도 부천시 원미구 옥산로 81 꿈마을 상가동 303호,37.50142961,126.7791898
부천시,중동,학교교과교습학원,대치입시학원,입시,"경기도 부천시 중동 1134-2번지 2층 202호, 206호","경기도 부천시 조마루로285번길 50, 2층 202호, 206호 (중동)",37.49962009,126.7752484
부천시,중동,학교교과교습학원,더오름보습학원,보습,경기도 부천시 중동 628-9번지,경기도 부천시 원미구 부흥로 199 (중동),37.49617607,126.7649684
부천시,중동,학교교과교습학원,엘씨(LC)논술보습학원,보습·논술,경기도 부천시 중동 679-5번지 인성프라자 5층 일부,경기도 부천시 원미구 석천로 106 인성프라자 5층일부 (중동),37.49667397,126.7616874
부천시,중동,평생직업교육학원,스시웨이요리학원,"식음료품(바리스타,소믈리에)",경기도 부천시 중동 1111번지 위브더스테이트 상가6동 305-2호,"경기도 부천시 원미구 신흥로 170-1, 상가6동 305-2호 (중동, 위브더스테이트)",37.49865328,126.7785195
부천시,중동,학교교과교습학원,국제중국어학원,실용외국어(유아/초·중·고),"경기도 부천시 중동 1162-5번지 중동프라자 306호, 307호","경기도 부천시 석천로 171, 306호, 307호 (중동, 중동프라자)",37.50275719,126.7624369
부천시,중동,학교교과교습학원,량량어학원,실용외국어(유아/초·중·고),"경기도 부천시 중동 1112번지 204호,205호,215호","경기도 부천시 신흥로 150-1, 204호,205호,215호 (중동)",37.4973745,126.7788513
