관리번호,노선명,노선번호,기점,종점,총연장,포장도연장 계(단위:㎞),포장도연장 2차선,포장도연장 4차선,포장도연장 6차선,포장도연장 8차선,미개설도연장(단위:㎞)
1037,소로3류113호선,시도1037호선(내동-내동),내동 384,내동 384,0.29,0.29,0.29,,,,
1038,소로3류114호선,시도1038호선(내동-내동),내동 386,내동 386,0.3,0.3,0.3,,,,
1039,소로3류115호선,시도1039호선(내동-내동),내동 387,내동 387,0.3,0.3,0.3,,,,
1040,소로3류116호선,시도1040호선(내동-내동),내동 382,내동 382,0.29,0.29,0.29,,,,
1041,소로3류117호선,시도1041호선(내동-내동),내동 387,내동 387,0.21,0.21,0.21,,,,
1042,소로3류118호선,시도1042호선(약대-약대),약대동 17-1,약대동 17-1,0.056,0.056,0.056,,,,
1043,소로3류119호선,시도1043호선(삼정-삼정),삼정동 330-1,삼정동 329,0.234,0.234,0.234,,,,
1044,소로3류120호선,시도1044호선(삼정-삼정),삼정동 329,삼정동 329,0.162,0.162,0.162,,,,
1045,소로3류121호선,시도1045호선(삼정-삼정),삼정동 330-1,삼정동 330,0.226,0.226,0.226,,,,
1046,소로3류122호선,시도1046호선(삼정-삼정),삼정동 330-1,삼정동 330-1,0.233,0.233,0.233,,,,
1047,소로3류123호선,시도1047호선(삼정-삼정),삼정동 330-1,삼정동 330,0.114,0.114,0.114,,,,
1048,소로3류124호선,시도1048호선(삼정-삼정),삼정동 330-1,삼정동 330,0.053,0.053,0.053,,,,
1049,소로3류125호선,시도1049호선(삼정-삼정),삼정동 302-1,삼정동 302-1,0.054,0.054,0.054,,,,
1050,소로3류126호선,시도1050호선(삼정-삼정),삼정동 301-27,삼정동 301-4,0.053,0.053,0.053,,,,
1051,소로3류127호선,시도1051호선(삼정-삼정),삼정동 304,삼정동 304-2,0.053,0.053,0.053,,,,
1052,소로3류128호선,시도1052호선(내동-내동),내동 397,내동 399,0.372,0.372,0.372,,,,
1053,소로3류129호선,시도1053호선(삼정-삼정),삼정동 313-39,삼정동 339,0.234,0.234,0.234,,,,
1054,소로3류130호선,시도1054호선(삼정-삼정),삼정동 313-39,삼정동 313-39,0.14,0.14,0.14,,,,
1055,소로3류131호선,시도1055호선(내동-내동),내동 397,내동 336,0.303,0.303,0.303,,,,
1056,소로3류132호선,시도1056호선(삼정-내동),삼정동 336,내동 399,0.214,0.214,0.214,,,,
1057,소로3류133호선,시도1057호선(내동-삼정),내동 399,삼정동 308-18,0.302,0.302,0.302,,,,
1058,소로3류134호선,시도1058호선(삼정-삼정),삼정동 339,삼정동 339,0.268,0.268,0.268,,,,
1059,소로3류135호선,시도1059호선(삼정-삼정),삼정동 329,삼정동 329,0.18,0.18,0.18,,,,
1060,소로3류136호선,시도1060호선(내동-내동),내동 399,내동 399,0.14,0.14,0.14,,,,
1061,소로3류137호선,시도1061호선(내동-내동),내동 402,내동 402,0.052,0.052,0.052,,,,
1062,소로3류138호선,시도1062호선(내동-내동),내동 401,내동 404,0.45,0.45,0.45,,,,
1063,소로3류139호선,시도1063호선(내동-내동),내동 404,내동 404,0.06,0.06,0.06,,,,
1064,소로3류140호선,시도1064호선(내동-내동),내동 401,내동 404,0.404,0.404,0.404,,,,
1065,소로3류141호선,시도1065호선(내동-내동),내동 404,내동 400,0.074,0.074,0.074,,,,
1066,소로3류142호선,시도1066호선(내동-내동),내동 404,내동 401,0.292,0.292,0.292,,,,
1067,소로3류143호선,시도1067호선(내동-내동),내동 404,내동 401,0.292,0.292,0.292,,,,
1068,소로3류144호선,시도1068호선(내동-내동),내동 402,내동 404,0.252,0.252,0.252,,,,
1069,소로3류145호선,시도1069호선(내동-내동),내동 402,내동 402,0.093,0.093,0.093,,,,
1070,소로3류146호선,시도1070호선(도당-도당),도당동 142,도당동 142,0.085,0.085,0.085,,,,
1071,소로3류147호선,시도1071호선(도당-도당),도당동 142,도당동 142,0.062,0.062,0.062,,,,
1072,소로3류148호선,시도1072호선(내동-내동),내동 407,내동 407,0.074,0.074,0.074,,,,
1073,소로3류149호선,시도1073호선(내동-내동),내동 166-12,내동 407,0.24,0.24,0.24,,,,
1074,소로3류150호선,시도1074호선(내동-내동),내동 409,내동 409,0.195,0.195,0.195,,,,
1075,소로3류151호선,시도1075호선(내동-내동),내동 409,내동 407,0.302,0.302,0.302,,,,
1076,소로3류152호선,시도1076호선(내동-내동),내동 407,내동 407,0.224,0.224,0.224,,,,
1077,소로3류153호선,시도1077호선(내동-내동),내동 407,내동 407-1,0.148,0.148,0.148,,,,
